HelpfulnessNumerator,HelpfulnessDenominator,Time,Summary,Text,Score
1,1,1348876800,'Youll go nuts over AssKickin Peanuts','This wasnt in stock the last time I looked I had to go to the Vermont Country Store in Weston to find it along with a jaw harp Cranberry Horseradish Sauce Fartless Black Bean Salsa Apple Cider Jelly Newtons Cradle Art in Motion and the staple Vermont Maple Syrup  Back to the Ass Kickin Peanuts They are hot They will activate the perspiration glands behind your ears and under your arms It requires a beverage as advertised a glass of very cold milk and a box of Kleenex since it will make your nose run They look like ordinary peanuts which is already giving me ideas for work I suspect that some people have been hitting mygoodes in my absence especially my colleague Greg Im going to take this to work at earliest opportunity and empty the contents of this can into an ordinary Planters Peanuts can and then see whose crying or whose nose is running when I return  The can should be shaken to ensure the spices are evenly distributed It is important to wash your hands after consumption and not touch the eyes  Youll go nuts over these AssKickin Peanuts  PS Im not sharing the peanuts not deliberately and Ill probably give Greg the jaw harp for Christmas Hell be so insulted',4
0,0,1278028800,'not ass kickin','were used to spicy foods down here in south texas and these are not at all spicy  doubt very much habanero is used at all  could take it up a notch or two',3
2,2,1322438400,'Roasts up a smooth brew','I roast at home with a stovetop popcorn popper but I do it outside of course These beans Coffee Bean Direct Green Mexican Altura seem to be wellsuited for this method The first and second cracks are distinct and Ive roasted the beans from medium to slightly dark with great results every time The aroma is strong and persistent The taste is smooth velvety yet lively',4
0,0,1349395200,'Our guests love it','We roast these in a large cast iron pan on the grill about 1/3 of the bag at a time  The smell is wonderful and the roasted beans taste delicious too  More importantly the coffee is smooth  no bitter aftertaste  On numerous occasions weve had to send the roasted beans home with friends because they like it so much',5
2,2,1322438400,'Awesome Deal','Deal was awesome  Arrived before Halloween as indicated and was enough to satisfy trick or treaters  I love the quality of this product and it was much less expensive than the local stores candy',5
1,1,1336176000,'How can you go wrong','It is chocolate what can I say  Great variety of everything our family loves  With a family of six it goes fast here  Perfect variety  Kit Kat Reeses take five and more',5
0,0,1320364800,'Awsome  Kids in neighborhood loved us','Great product nice combination of chocolates and perfect size  The bags had plenty and they were shipped promptly  The kids in the neighborhood liked our candies',5
0,0,1320105600,'great deal','Halloween is over but I sent a bag to my daughters class for her share The chocolate was fresh and enjoyed by many',5
2,4,1318723200,'Better price for this at Target','Watch your prices with this  While the assortment wasgoodand I did get this on a gold box purchase the price for this was<br 34 less at Target',3
0,2,1319414400,'pretty expensive','This bag of candy online is pretty expensive it should be cheaper in order to compete with grocery stores other than that its agoodcombination of my favorite candy',5
2,2,1215302400,'stale product','Arrived in 6 days and were so stale i could not eat any of the 6 bags',1
3,3,1333497600,'Hammer Nutrition s Fizz Rocks','I have used the endurolyte product for several years in both pill and powder form  Long desert rides on the dirt bike always found my camelbak water heavily laced with the endurolyte powder not overly tasty but quite effective as I never got a cramp on these several hundred mile rides  Same for desert racing in the buggy the camelbaks were always laced with the powder  Now we have the Fizzwhat a great product  Firstly its Hammers endurolyte product so its great endurance athletes the world over use their products Second its convenient handly tablets that dissovle in a fizz  Third it tastes great Imagine getting a nice cool drink when your body is starving for hydration and electrolytes and rather than getting a salty taste you get a refreshing lemonlime or mango  The camelbaks always get the Fizz now  I also drop a tablet in my bottled water whenever I exercise and have a nice flavored water chock full of electrolytes I cannot recommend this product or any hammer product highly enough',5
1,1,1333584000,'great source of electrolytes','This product serves me well as a source of electrolytes during and after a long run or bike ride<br I have tried all of the flavors but really do like the grapefruit flavor no aftertaste and I actually like the slight carbonation<br I use other Hammer products and really like their whole product line',5
1,1,1331510400,'Great for preventing cramps','This stuff really works for preventing cramping during the middle to latter stages of your rides Pop 1 into each water bottle and youre set Flavor is fine and goes down easy',5
0,0,1345161600,'Low Carb Alternative to Gatorade','For those of us on a low carb diet these little tablets are just the thing  Two years ago I started cycling again after many years but was having heart arrhythmia after longer rides in high heat  I was drinking plain water but did a little research and thought electrolytes might be the issue  Gatorade wasnt an option because it is so loaded with carbohydrates so I looked around for a lowcarb alternative  The zero carb sports drinks didnt help so what to do?  One day I ran across these at my bike shop so tried a tube of themvoilaproblem solved  Ive shared them with two friends in particular whose problems with leg cramps were resolved while using these  These guys got it right they are superbly formulated and simply work',5
0,1,1338422400,'Taste is not so good','I purchased the Mango flavor and to me it doesnt take like Mango at all  There is no hint of sweetness and unfortunately there is a hint or aftertaste almost like licorice  Ive been consuming various sports nutrition products for decades so Im familiar and have come to like the taste of the most of the products Ive tried  The mango flavor is one of the least appealing Ive tasted  Its not terrible but its bad enough that I notice the bad taste every sip I take',2
0,0,1169251200,'How much would you pay for a bag of chocolate pretzels?','If youre impulsive like me then 6 is ok Dont get me wrong the quality of these babies is verygoodand I have no complaints But in retrospect the price is a little ridiculous esp when you add on the shipping',3
0,2,1185753600,'pretzel haven','this was sooooo deliscious but too bad i ate em too fast and gained 2 pds my fault',5
2,2,1254355200,'Great Gummi','These Albanese gummi bears and rings and so on are verygoodand tasty and high quality The bears even have little faces At my local candy store this type of gummi stuff bears rings snakes balls worms whatever are about 10/lb These twin packs of 45 or 5 pound bags is a screaming deal as far as Im concerned Im probably 50 pounds deep in these friggin things Consumed',5
1,1,1289260800,'Bigger then other brands','Grape gummy bears are hard to find in my area In fact pretty much anyone I talk to about grape gummy bears they think Im lying So I bought 10lbs   These bears are a little bit bigger then the other brands and have kind of sour kick but nothing to strong I love grape flavored candy/soda and these are prettygoodThere is another company that makes grape gummy bears that are a little bit better in my opinion but these are well worth it for the price I like to use the gummy bears in home made Popsicles with flavored sports drink The salt in the sports drink makes for softer popsicles and the gummy bears are awesome frozen They are delicious',5
0,0,1327017600,'Best ever latice tart','I ordered two of these and two of raspberry latice tarts directly from FantasiCakes website for a dinner party I was hosting It arrived fresh and intact Verygoodsize I froze half for later use I am a pastry lover and these were the best Ive ever tasted The pastry was soft the jam was reallygoodand the taste was great They were gone in no time My guests were really impressed',5
0,1,1335744000,'Warning  WARNING  ALCOHOL SUGARS','Buyer Beware Please This sweetener is not for everybody  Maltitol is an alcohol sugar and can be undigestible in the body  You will know a short time after consuming it if you are one of the unsuspecting many who cannot digest it by the extreme intestinal bloating and cramping and massive amounts of gas a person can experience Nausea diarrheaand headaches can also be experienced I learned my lesson the hard way years ago when I fell in love with the sugarfree chocolates suzanne sommers used to sell  I thought Id found sugarfree chocolate nirvana at first taste but the bliss was short lived when the terrible side effects of maltitol kicked in  The discomfort was unlike anything I had ever felt before  I blew up like a balloon and had very painful abdominal cramping  As the symptoms passed this too was very unpleasant  Though hard for me to believe a low calorie sweetener could be the culprit all symptoms were gone when I stopped eating the chocolate My hunch it had something to do with the maltitol were unfortunately confirmed for me about a year later when I purchased some delicious sugarfree popcorn at my local market  The taste was amazing and while I was looking at the label wondering what could possibly make this yummy new sugarfree treat taste sogoodmy heart sank when I followed the little asterisk next to sugarfree sweetener* down to the very bottom of the label and read maltitol in tiny little letters Thankgoodess Id eaten only a little I still ended up with all the same sideeffects but for a much shorter duration Some people can use maltitol to their hearts content but others like me can have a bad reaction to it In case youre like me  its not you its the maltitol',1
0,0,1287705600,'nothing special','It is okay  I would not go out of my way to buy it again',2
0,0,1275004800,'No Tea Flavor','No tea flavor at all Just whole brunch of artifial flavors It is not returnable I wasted 20      bucks',1
0,0,1348444800,Good,'These looked like a perfect snack to through in with my trail mix  Unfortunately they arrived in a solid mass of melted chocolate  I left them in my pantry for a few days and when I opened them at room temperature they were still gooey  I through them in the fridge and Ive been breaking off hunks ever since  They tastegoodto me but the chocolate is all grainy after melting and then solidifying again  I wont order them online again but if I see them in a store I would pick them up',5
0,0,1348185600,'Taste great','These taste reallygoodI have been purchasing a different brand and these are very similar in taste and texture I agree with the other reviewer regarding ordering in the summer There is no insulating packaging with ice packs so they will melt in warm weather like all chocolate food items Order in cold weather and buy enough to last',5
0,0,1346976000,'Order only in cold weather','The taste was great but the berries had melted  May order again in winter If you order in cold weather you should enjoy flavor',3
0,0,1344902400,'this is the best','i know i cannot make tea thisgood granted i am not from the south but i know i have never enjoyed tea that was this sweet without being too sweet  it tastes crisp',5
1,1,1325116800,Delicious,'This peppermint stick is delicious and fun to eat  My dad got me one for Christmas because he remembered me having a similar one when I was a little girl  Im 30 now and I love it',5
1,1,1324598400,Great,'Great gift for all ages I purchased these giant canes before and the recipients loved them so much they kept them and would not eat them',4
15,15,1325635200,'Forget Molecular Gastronomy  this stuff rockes a coffee creamer','I know the product title says Molecular Gastronomy but dont let that scare you off  I have been looking for this for a while now not for food science but for something more down to earth  I use it to make my own coffee creamer  I have to have my coffee blonde and sweet  but the flavored creamers are full of the bad kinds of fat and honestly I hate to use manufactured food items  I really dont think they aregoodfor the body  On the other hand I hate using cold milk or cream because I like HOT coffee  I stumbled across this on Amazon one day and got the idea of making my own creamer  I also bought lowfat noninstant milk powder and regular milk powder The noninstant lowfat milk is a little sweeter and tastes fresher than regular instant lowfat milk but does not dissolvegoodin cold water  which is not a problem for hot coffee  You will have to play with the ratios  I would not do just the heavy cream it made the coffee too rich Also I think the powder is too expensive to just use on its own I like mixing 1/3 of each together  For flavoring I bough cocoa bean powder vanilla bean powder and caster superfine sugar  I mix up small batches along with spices like cinnamon and nutmeg to make my own flavored creamers  If you wanted you could use a fake sweetner powder instead  I make up small amounts that I store in jelly canning jars I also use my little food chopper/food processor to blend everything so the sugar is not heavier and sinks to the bottom  Let it settle for a bit before opening the top though  This stuff tastes WAY better than the storebought creamers and it is fun to experiment and come up with your own flavors  I am going to try using some essential oils next and see if I can get agoodchocolate/orange mix  All of the ingredients I mentioned are here online  Take the time to experiment  Maybe you dont use any lowfat milk Or dont add any flavorings  It is up to you  Also would make great housewarming/hostess gifts  I am sure other molecular people will be able to tell you more of what you can do with it and I am sure I will experiment with it in cooking  but the main reason I bought it was to make my own creamer and it worked out great',5
5,5,1301011200,'Natural Balance Lamb and Rice','While my dogs like all of the flavors that we have tried of this dog food for some reason their itching increased when I tried the lamb and rice I have some very itchy dogs and am giving them a limited ingredient dog food to try to help The duck and sweet potato cut down on the itching significantly but when we tried lamb and rice they started itching more once again I like Natural Balance for the quality ingredients',3
4,4,1313193600,'INCREASED MY DOGS ITCHING','Awesome dog food However when given to my Boston who has severe reactions to some food ingredients  his itching increased to violent jumping out of bed at night scratching As soon as I changed to a different formula the scratching stopped So glad Natural Balance has other choices I guess you have to try each until you find whats best for your pet',3
4,4,1292889600,'Great food','We have three dogs and all of them love this food  We bought it specifically for one of our dogs who has food allergies and it works great for him no more hot spots or tummy problems<br I LOVE that it ships rightto our door with free shipping',5
1,1,1333670400,'Great for my dogs allergies','My dog has a ton of allergies both environmental and food She was on a prescription dog food before we had her tested to see what allergies she has After we got the test back we learned she was allergic to something in the prescription brand So I finally found this dog food and she has done so well on this She still has her environmental triggers but I am happy she can finally eat something I know wont cause her pain',5
1,1,1320883200,'Great for stomach problems','My shepherd/collie mix has IBS  Our vet recommended a limited ingredient food  This has really helped her symptoms and she likes it  I will always buy it from Amazonits 10 cheaper and free shipping',5
1,1,1311638400,'Better life for you dog','Natural Balance Dry Dog Food Lamb Meal and Brown Rice Recipe did wonders for my Jack Russell She has awful food allergys and this food was our last hope because it was the last food we could find that didnt have SOMETHING in it that she was allergic to She has no problem eating it dry but normally I mix the Natural Balance Dry Lamb and Brown Rice with the Natural Balance Wet Lamb and Brown Rice she seems to like that better We started feeding it to our other dog a Bichon too and she loves it If your dog has allergys or stomach issue or if you want your dog to eat better food this is it You will see a difference in your pet',5
0,0,1347408000,'Great Food','Great food I love the idea of one food for all agesand breeds ?éts a real convenience as well as a reallygoodproduct  My 3 dogs eat less have almost no gas their poop is regular and a perfect consistency what else can a mom ask for',5
0,0,1335398400,'Great food for my my dog who has a sensitive stomach','I have a standard poodle and pomeranian who both do wonderful on this food I have switched them to a different food due to price a couple of times and end up going rightback to natural balance',5
0,0,1334966400,'Great dog food','This is great dog food my dog has severs allergies and this brand is the only one that we can feed him',5
0,0,1333929600,'Mmmmm  Mmmmm good','This food is great  all ages dogs  I have a 3 year old and a puppy  They are both so soft and hardly ever get sick  The food isgoodespecially when you have Amazon Prime shipping  ',5
0,0,1330041600,'Great Dog Food','My golden retriever is one of the most picky dogs Ive ever met  After experimenting with various types of food I have found she loves natural balance  What I really like about natural balance is the fact that it has multiple flavors in dry and wet varieties  I mix her dry food with a little wet food and my golden loves it  Furthermore I do like mixing up the flavors each time as I think the same meal day over day might get a little boring so I figured why not  I tend to stay away from the fish type though as it smells  Additionally I started purchasing off Amazon because Petco didnt have the wet food box and only had a couple of cans  I came home and to my surprise realized that I could save 20 each time I bought dog food if I just buy it off Amazon  All in all I definitely recommend and give my stamp of approval to natural balance dog food  While I have never eaten it my dog seems to love it',5
0,0,1329609600,'So convenient','This is the same food we get at pet store But its delivered to my door And for the same price or slightly less',5
0,0,1320105600,'Good healthy dog food','Ive been very pleased with the Natural Balance dog food Our dogs have had issues with other dog foods in the past and I had someone recommend Natural Balance grain free since it is possible they were allergic to grains Since switching I havent had any issues It is also helpful that have have different kibble size for larger/smaller sized dogs',5
0,0,1303776000,'Great dog food','My 1     half year old basenji/jack russell mix loves this dog food Hes been noticeably healthier and more energetic since I switched him over from the standard dog foods earlier this year Despite the higher cost of natural dog foods I find that he eats significantly less of the Natural Balance dog foods and still stays happy and full On the normal dog foods hed eat up to 3 cups of dog food a day the recommended serving for his size whereas he only eats about 1 cup to 1     half cup of the Natural Balance dog food a day When you take this into account youre actually getting more bang for your buck with the natural dog foods since you dont have to buy as much to last just as long as the normal dog foods and a healthier happier dog to boot Add in the fact that you can get free 2day shipping with Amazon Prime Im sold',5
0,0,1297296000,'Great allergy sensitive dog food dogs love it','Our pup has experienced allergies in forms of hotspots and itching from other dog foods The cheap you can buy it anywhere food not only have crazy preservatives in them but can cause health problems for your pets  This food works wonders on reducing allergies and our dog loves the food<br This message is RAMSEY FrAnkenSteiN approved',5
0,0,1295308800,'Perfect for our English Bulldog with Allergies','My English Bulldog had skin allergies the summer we got him at age 3  The vet recommended we wean him off the food his previous owner gave him Iams Lamb and Rice and onto a new kind  This was the second one we tried and it has been working ever since  Its for dogs that need a limited diet who can be sensitive to additives and proteins commonly found in commercial dog food like chicken or beef',5
0,1,1331164800,Bad,'I fed this to my Golden Retriever and he hated it  He wouldnt eat it and when he did it gave him terrible diarrhea  We will not be buying this again  Its also super expensive',1
4,5,1233014400,'Taste wise it is a 6 star item','The mouth says How do I love thee let me count the ways<br If you like apple products a must have item  The only draw back shipping cost  These are very heavy',5
2,3,1256515200,'Great Support','Arrived slightly thawed My parents wouldnt accept it However the company was very helpful and issued a full refund',4
0,0,1335139200,TART,'The crust on these tarts are perfect  My husband loves these but Im not so crazy about them  They are just too sour/tart for my taste  Ill eat the crust and hubby takes my filling  My kids think theyre great so maybe its just me',4
0,0,1332028800,'Omaha Apple Tartlets','These are absolutely scrumptuous  My husband and I both love them however as another customer put it they are expensive to ship  The cost of shipping is more than the tartlets themselves are',5
0,0,1326412800,'Loved these Tartlets','What a nice alternative to an apple pie Love the fact there was no slicing and dicing Easy to prepare I also loved the fact that you can make them fresh whenever needed',5
0,0,1308700800,'The best','I like Creme Brulee I loved that these were so easy Just sprinkle on the sugar that came with and broil They look amazing and taste great My guess thought I really went out of the way for them when really it took all of 5 minutes I will be ordering more',5
2,8,1236384000,disappointing,'not what I was expecting in terms of the companys reputation for excellent home delivery products',3
